X,Cc,Sites,Proportion,Cumulative
0,1,1525,0.828804,0.828804
1,0.984127,5,0.00271739,0.831522
2,0.968254,20,0.0108696,0.842391
3,0.952381,2,0.00108696,0.843478
4,0.936508,4,0.00217391,0.845652
5,0.920635,2,0.00108696,0.846739
6,0.904762,4,0.00217391,0.848913
7,0.888889,1,0.000543478,0.849457
8,0.873016,11,0.00597826,0.855435
9,0.857143,4,0.00217391,0.857609
10,0.84127,59,0.0320652,0.889674
11,0.825397,6,0.00326087,0.892935
12,0.809524,6,0.00326087,0.896196
13,0.793651,6,0.00326087,0.899457
14,0.777778,3,0.00163043,0.901087
15,0.761905,3,0.00163043,0.902717
16,0.746032,8,0.00434783,0.907065
17,0.730159,1,0.000543478,0.907609
18,0.714286,0,0,0.907609
19,0.698413,8,0.00434783,0.911957
20,0.68254,22,0.0119565,0.923913
21,0.666667,4,0.00217391,0.926087
22,0.650794,3,0.00163043,0.927717
23,0.634921,5,0.00271739,0.930435
24,0.619048,5,0.00271739,0.933152
25,0.603175,5,0.00271739,0.93587
26,0.587302,6,0.00326087,0.93913
27,0.571429,2,0.00108696,0.940217
28,0.555556,0,0,0.940217
29,0.539683,3,0.00163043,0.941848
30,0.52381,6,0.00326087,0.945109
31,0.507937,3,0.00163043,0.946739
32,0.492063,2,0.00108696,0.947826
33,0.47619,15,0.00815217,0.955978
34,0.460317,2,0.00108696,0.957065
35,0.444444,1,0.000543478,0.957609
36,0.428571,0,0,0.957609
37,0.412698,1,0.000543478,0.958152
38,0.396825,1,0.000543478,0.958696
39,0.380952,0,0,0.958696
40,0.365079,0,0,0.958696
41,0.349206,7,0.00380435,0.9625
42,0.333333,0,0,0.9625
43,0.31746,14,0.0076087,0.970109
44,0.301587,3,0.00163043,0.971739
45,0.285714,0,0,0.971739
46,0.269841,4,0.00217391,0.973913
47,0.253968,0,0,0.973913
48,0.238095,0,0,0.973913
49,0.222222,2,0.00108696,0.975
50,0.206349,0,0,0.975
51,0.190476,0,0,0.975
52,0.174603,0,0,0.975
53,0.15873,33,0.0179348,0.992935
54,0.142857,4,0.00217391,0.995109
55,0.126984,0,0,0.995109
56,0.111111,4,0.00217391,0.997283
57,0.0952381,0,0,0.997283
58,0.0793651,0,0,0.997283
59,0.0634921,0,0,0.997283
60,0.047619,0,0,0.997283
61,0.031746,5,0.00271739,1
62,0.015873,0,0,1
63,0,0,0,1
